landmark_id;clan;year;month;date;session;hyenas;utme;utmn
Grits_Den;serenan;2013;07;2013-07-07;s10030;tnsl;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;ypsi;724180;9846138
Benedict_Den;serenan;2013;07;2013-07-07;s10030;arro;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;cstz;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;dalt;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;ink;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;logc;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;rmon;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;slim;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;strm;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;tnsl;723973;9846252
Benedict_Den;serenan;2013;07;2013-07-07;s10030;ypsi;723973;9846252
Grits_Den;serenan;2013;07;2013-07-07;s10030;arro;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;cstz;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;dalt;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;ink;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;logc;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;rmon;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;slim;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;strm;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;tnsl;724180;9846138
Grits_Den;serenan;2013;07;2013-07-07;s10030;ypsi;724180;9846138
Schiphol_Den;serenan;2013;07;2013-07-08;s10034;jude;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-08;s10034;mchl;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-08;s10034;spud;723441;9844921
Grits_Den;serenan;2013;07;2013-07-08;s10037;cstz;724180;9846138
Grits_Den;serenan;2013;07;2013-07-08;s10037;dalt;724180;9846138
Grits_Den;serenan;2013;07;2013-07-08;s10037;logc;724180;9846138
Grits_Den;serenan;2013;07;2013-07-08;s10037;rama;724180;9846138
Grits_Den;serenan;2013;07;2013-07-08;s10037;slim;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;bilj;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;crim;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;cstz;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;ele;724180;9846138
