utme;utmn;landmark_id;clan;year
724958;9840745;Foggy_Den;serena.s;2009
745164;9839130;Foxy_Den;talek;2010
723884;9846260;Frittata_Den;serena.n;2011
729770;9838834;Furtive_Communal_Den;talek;2001
723631;9844750;Gatwick_Den;serena.n;2008
719322;9840190;Gettysburg_Den;happy.zebra;2013
716307;9843668;Gila_River_Den;happy.zebra;2009
716426;9843696;Gila_River_Den_II;happy.zebra;2010
716452;9843748;Gila_River_Den_III;happy.zebra;2010
717110;9838860;Goliath_Heron_Den;happy.zebra;2014
742749;9840733;Gomer_den;talek;2007
719679;9851370;Gothenburg_Den;serena.n;2011
717033;9844406;Grand_Theft_Auto_Den;happy.zebra;2010
743636;9832955;Greenland_Den;talek;2019
718155;9849595;Gringotts_Den;serena.n;2017
718197;9849416;Gringotts_Den_2;serena.n;2018
724180;9846138;Grits_Den;serena.n;2011
741295;9840668;Grove_Den;talek;2008
719173;9851289;Gryffindor_Den;serena.n;2010
725917;9842387;Guava_Den;serena.s;2015
720474;9851196;Guca_Den;serena.n;2012
723071;9841425;Hallelujah_Den;serena.s;2010
724783;9841530;Hanging_Gardens_Den;serena.s;2009
719821;9847114;Happy_New_Year_Den;serena.n;2013
726486;9842170;Heath_Den;serena.s;2011
719087;9840152;Heathrow_Den;serena.n;2008
719644;9851282;Helsinki_Den;serena.n;2011
716588;9845972;Hit_and_Run_Den;happy.zebra;2011
718517;9842766;Hobbit_Hole_Den;happy.zebra;2010
717723;9849485;Hogshead_Den;serena.n;2010
719318;9850846;Hogwarts_Den;serena.n;2010
746505;9836828;Holiday_Communal_Den;talek;2005
746505;9836828;Holiday_Communal_Den;talek;2004
719087;9840152;Holy_Grail_Den;happy.zebra;2008
718859;9840103;Holy_Grail_Den_II;happy.zebra;2008
717090;9844193;Homicide_Den;happy.zebra;2010
716763;9843937;Houdini_Den;happy.zebra;2016
716847;9843520;Hubbub_Den;happy.zebra;2016
718886;9851135;Hufflepuff_Den;serena.n;2010
716721;9843423;Hullabaloo_Den;happy.zebra;2016
716585;9843403;Hullabaloo_Den_2;happy.zebra;2019
725185;9840831;Hurley_Den;serena.s;2010
725559;9840851;Hydra_Den;serena.s;2009
718355;9849119;IAT_Den;serena.n;2009
727052;9842117;Ice_Age_Den;serena.s;2009
719409;9848777;Ilvermorny_Den;serena.n;2016
717831;9844399;Innocent_Den;happy.zebra;2019
725384;9840990;Island_Den;serena.s;2014
718389;9849092;J_Fab_Den;serena.n;2012
725657;9841081;Jackson's_Hole_Den;serena.s;2009
718268;9844620;Jalapeno_Den;happy.zebra;2019
716375;9842579;Juarez_Den;happy.zebra;2009
718861;9849286;Judith_Den;serena.n;2016
718910;9849244;Judith_Den2;serena.n;2016
718423;9849180;Kabbalah_Den;serena.n;2016
727319;9840910;Kahana_Den;serena.s;2012
745124;9840497;Kinda-See-Em_Den;talek;2004
745124;9840497;Kinda-See-Em_Den;talek;2005
745114;9840561;Kinda_See_Em_Den_Three;talek;2013
745085;9840608;Kinda_See_Em_Den_Two;talek;2010
716290;9844312;Kinshasa_Den;happy.zebra;2011
726433;9842488;Kit_Kat_Den;serena.s;2011
720256;9851264;Kolding_Den;serena.n;2011
719919;9851134;Krakow_Den;serena.n;2012
744591;9841032;Lala_Den;talek;2006
744658;9833984;Landscape_Den;talek;2019
744819;9833984;Landscape_Den_2;talek;2019
717242;9843722;Larceny_Den;happy.zebra;2010
738769;9839828;Lazarith_Den;talek;2006
741547;9835066;Lazy_French_Den;talek;2015
752612;9837340;Leopard_Den;talek;2001
727206;9840510;Lighthouse_Den;serena.s;2010
747326;9838572;Lightning_Den;talek;2011
714856;9847447;Lilac_Breasted_Roller_Den;happy.zebra;2019
744315;9838421;Little_Bend_Natal_Den;talek;2006
744315;9838421;Little_Bend_Natal_Den;talek;2005
725145;9840826;Locke_Den;serena.s;2010
724765;9839596;Lone_Elephant_Den;serena.s;2021
724854;9839665;Lone_Elephant_Den_3;serena.s;2022
724824;9839786;Lone_Elephant_Den_4;serena.s;2022
724875;9839737;Lone_Elephant_Den2;serena.s;2021
725277;9841016;Lost_Den;serena.s;2015
741286;9836630;Love_Stinks_Den;talek;2014
747061;9837156;Lovenest_Den;talek;2009
718649;9844548;Lugga_Den;happy.zebra;2017
718622;9844671;Lugga_Den_4;happy.zebra;2022
718642;9844590;Lugga_Den_II;happy.zebra;2017
718592;9844639;Lugga_Den_III;happy.zebra;2017
718592;9844639;Lugga_Den_lll;happy.zebra;2017
718624;9844590;Lugga_Den2;happy.zebra;2017
719366;9850839;Mag_Den;serena.n;2010
746745;9838653;Magic_Bush_Den;talek;2003
720175;9851218;Malmö_Den;serena.n;2012
726233;9842257;Mango_Den_ll;serena.s;2017
739305;9836075;Margarita_Den;talek;2017
723417;9840596;Mars_Den;serena.s;2022
753552;9837527;Masai_Fever_Tree_Natal_Den;talek;2001
721208;9840487;Mashugana_Den;happy.zebra;2013
742867;9841535;Mausoleun_at_Halicarnassus_Den;serena.s;2015
715241;9843545;Meatloaf_Den;happy.zebra;2015
