year;landmark_id;month;session;utme;utmn;clan
2011;Benedict_Den;07;s6677.1;723973;9846252;serenan
2011;Frittata_Den;07;s6744;723884;9846260;serenan
2011;Pancake_Den;07;s6772;723933;9845900;serenan
2011;Chex_Den;07;s6782;723983;9846130;serenan
2011;Bergen_Den;08;s6866;720253;9851464;serenan
2011;Vaasa_Den;09;s6916;720189;9851280;serenan
2011;Kolding_Den;09;s6918;720256;9851264;serenan
2009;Little_Big_Horn_D;07;s700;719101;9840221;happyzebra
2011;Salander_Den;10;s7054;720032;9850724;serenan
2011;Riga_Den;11;s7138;720119;9850866;serenan
2011;Gila_River_Den_III;01;s7242;716452;9843748;happyzebra
2011;Gila_River_Den_II;01;s7243;716426;9843696;happyzebra
2011;Rio_Grande_Den;01;s7254;716415;9843882;happyzebra
2011;Sweetgrass_Den;01;s7280;716351;9844270;happyzebra
2011;Sault_St._Marie_Den;01;s7281;716352;9844324;happyzebra
2011;Cocobeach_Den;02;s7286;716199;9844306;happyzebra
2011;Strasbourg_Den;02;s7290;716325;9844272;happyzebra
2012;Vaasa_Den;01;s7301;720189;9851280;serenan
2011;Hit_and_Run_Den;03;s7334;716588;9845972;happyzebra
2011;Embezzlement_Den;03;s7338;716439;9845940;happyzebra
2011;Driving_under_the_Influence_Den;03;s7352;716653;9846058;happyzebra
2011;Grand_Theft_Auto_Den;04;s7366;717033;9844406;happyzebra
2011;Little_Big_Horn_D;05;s7426;719101;9840221;happyzebra
2011;Alamo_Den;06;s7429;719098;9840106;happyzebra
2009;Tijuana_Den;08;s750;716446;9842598;happyzebra
2011;Holy_Grail_Den;08;s7584;719087;9840152;happyzebra
2011;Nogales_Den;10;s7653;716267;9842643;happyzebra
2011;Windsor_Den;10;s7655;716432;9842596;happyzebra
2011;Blowin'_in_the_Wind_Tree;12;s7675;721116;9845013;happyzebra
2011;Rocky_Spot;12;s7685;731691;9832225;happyzebra
2009;Burnt_Crossing;08;s769;715967;9841842;happyzebra
2009;Juarez_Den;09;s795;716375;9842579;happyzebra
2012;Krakow_Den;07;s7999;719919;9851134;serenan
2009;Nogales_Den;09;s802;716267;9842643;happyzebra
2012;Maji_ya_Ndege;08;s8061.1;720930;9849994;serenan
2012;Malmö_Den;02;s8083;720175;9851218;serenan
2012;Guca_Den;03;s8164;720474;9851196;serenan
2012;Belgrade_Den;08;s8322;719841;9851154;serenan
2012;Budapest_Den;08;s8323;719781;9851170;serenan
2012;New_Queen's_Throne_Natal_Den;09;s8337;719751;9851136;serenan
2012;J_Fab_Den;10;s8383;718389;9849092;serenan
2012;Emma_Natal_Den_2_2012;11;s8446;719731;9847250;serenan
2012;Emma_Natal_Den_2012;12;s8557.1;719768;9847218;serenan
2012;Merry_Christmas_Den;12;s8591;719746;9847140;serenan
2012;The_Hatch_Den;01;s8600;727333;9840695;serenas
2012;Kahana_Den;03;s8736;727319;9840910;serenas
2009;Gila_River_Den;11;s874;716307;9843668;happyzebra
2012;Nightmare_Den;03;s8762;727399;9840910;serenas
2012;Cripple_Tree;03;s8762;727202;9842261;serenas
2012;Flashforward_Den;03;s8787;727377;9840658;serenas
2012;Casino_X;03;s8787;727028;9841002;serenas
2012;Java_House_Den;08;s9105;727353;9840692;serenas
2012;Oxytocin_Den;09;s9147;724934;9841116;serenas
2012;Def_Leppard_Crossing;09;s9182;727558;9840214;serenas
2012;Windsor_Den;01;s9432.1;716432;9842596;happyzebra
2012;Calexico_Den;03;s9519;716384;9842738;happyzebra
2012;Metropolitan_Tree;03;s9519;716285;9842750;happyzebra
2012;Blowin'_in_the_Wind_Tree;05;s9552;721116;9845013;happyzebra
2012;Mexicalli_Den;09;s9658;716255;9842748;happyzebra
2012;Nogales_Den;09;s9676;716267;9842643;happyzebra
2012;Juarez_Den;10;s9799;716375;9842579;happyzebra
2013;Merry_Christmas_Den;01;s9838;719746;9847140;serenan
2013;Happy_New_Year_Den;01;s9877;719821;9847114;serenan
2013;Pile-o-rocks_Crossing;01;s9884;721209;9848004;serenan
2013;Rhombush;01;s9884;720508;9848034;serenan
2017;Big_Bush_Communal_Den;06;t100118;748061;9838502;talek
2017;Big_Bush_Den;07;t100155;748061;9838502;talek
2017;Resurrection_Main_Den;07;t100156;747453;9838546;talek
2017;Lala_Den;07;t100191;744591;9841032;talek
2017;Green_Den;07;t100219;729719;9840569;talek
2017;Dicks_Den;07;t100249;747390;9837245;talek
2017;Fireworks_Den;07;t100256;741990;9840708;talek
2017;DOC_Den_2;07;t100321;747700;9837031;talek
2017;Den_One_Creek_Den_Complex;07;t100331;747634;9837096;talek
2017;Fig_Tree_Lugga_-_Top;08;t100450;743852;9840260;talek
2017;Flintstone_Den;08;t100511;747000;9837149;talek
2017;Tawny_Tree;09;t100633;743097;9840863;talek
2017;Daffy_Duck_Shrub;09;t100653;747248;9837085;talek
2017;Lone_Ranger_Natal_Den;10;t101148;747004;9836618;talek
1996;Man_Bush;07;t10119;745939;9837669;talek
2017;Leopard_Sex_Crossing;11;t101299;747704;9837000;talek
2017;Farmer's_Den;11;t101366;739847;9835373;talek
2018;Flintstone_Den;01;t101679.10;747000;9837149;talek
2018;Resurrection_Main_Den;01;t101814.10;747453;9838546;talek
2018;Resurrection_Communal_Den;01;t101838.10;747569;9838508;talek
2018;Central_Park_Communal_Den;03;t102125;746472;9838970;talek
2018;Mountaineer_Den;06;t102856;747043;9838583;talek
2018;Cliff_Den;09;t104193;746018;9837982;talek
2018;Magic_Bush_Den;09;t104223;746745;9838653;talek
2018;Nimekufa_Kindani_Den;12;t104780;742941;9831923;talek
1996;Fig_Tree_Lugga_-_Top;08;t10483;743852;9840260;talek
2019;Resurrection_Communal_Den;01;t105443;747569;9838508;talek
2019;Resurrection_Main_Den;01;t105460;747453;9838546;talek
2019;Special_Den;01;t105474;743992;9831975;talek
2019;Doom's_Day_Den_2;01;t105539;746900;9838610;talek
2019;Cliff_Den;02;t105887;746018;9837982;talek
2019;Cliff_Den_2;03;t105983;746082;9837966;talek
2019;Landscape_Den;03;t106054;744658;9833984;talek
2019;Landscape_Den_2;04;t106917;744819;9833984;talek
2019;Villa_Den;05;t107048;744705;9834929;talek
2019;Sayialel_Crossing;05;t107170;746881;9838682;talek
2019;Cool_Beans_Bush;05;t107220;744761;9835143;talek
2019;Villa_Den_2;06;t107551;744689;9835065;talek
2019;Confusing_Den;07;t108108;744211;9832288;talek
2019;Confusing_Den_2;07;t108115;744327;9831969;talek
2019;Confusing_Den_3;07;t108166;744260;9831828;talek
2019;Greenland_Den;09;t108498;743636;9832955;talek
2019;NUDI's_Den;10;t111322;744086;9832317;talek
2019;Dave_Den;10;t111328;747491;9837478;talek
2019;Dave's_Den;10;t111355;747491;9837478;talek
2019;Croton_Edge_Communal_Den;10;t111381;746952;9837148;talek
2019;NUDI's_Den_2;11;t111510;744117;9832275;talek
2020;Acacia_Den;02;t111991;749375;9838582;talek
2021;Acacia_Den;08;t119991;749375;9838582;talek
2001;Aardwolf_Communal_Den;11;t29821.4;745294;9838050;talek
2002;Plantation_Den;04;t32073;746293;9839498;talek
2002;Olosogon_West_Bank_Natal_Den;06;t34600;754909;9835790;talek
2002;Fever_Tree_Natal_Den/Communal_Den_Complex;08;t35026;753681;9837484;talek
2002;Twin_Tree_Crossing;08;t35439;754110;9836521;talek
2002;Sunrise_Valley_Communal_Den/Natal_Den;09;t35797;753524;9837427;talek
1992;Maji_Fisi;11;t3646;745018;9838398;talek
2003;Fever_Tree_Natal_Den/Communal_Den_Complex;01;t36797;753681;9837484;talek
2003;Plantation_Den;01;t36831;746293;9839498;talek
2003;Dream_Camp;02;t37092;746192;9838993;talek
2003;Base_Natal_Den/Communal_Den;04;t37704;746442;9838893;talek
2003;Resurrection_Communal_Den;04;t37828;747569;9838508;talek
2003;Doom's_Day_Den;07;t38685;747037;9838562;talek
2003;Magic_Bush_Den;07;t38777;746745;9838653;talek
2003;Sunrise_Valley_Communal_Den/Natal_Den;10;t39312;753524;9837427;talek
1989;Plantation_Den;02;t394;746293;9839498;talek
2003;Paradise_Den;11;t40009;746378;9836793;talek
2003;Aardvark_Road_Trees;12;t40153;746563;9836736;talek
2003;Magic_Culvert;12;t40164;747371;9836013;talek
2003;Aardwolf_Communal_Den;12;t40386;745294;9838050;talek
2004;Fever_Tree_Natal_Den/Communal_Den_Complex;01;t43461;753681;9837484;talek
2004;Aardwolf_Communal_Den;01;t43469;745294;9838050;talek
2004;Ranger_Den;02;t43814;745281;9840331;talek
2004;No_See_Em_Den;03;t44085;744984;9840806;talek
2004;Plantation_Den;06;t48046;746293;9839498;talek
2004;Sunrise_Valley_Communal_Den/Natal_Den;08;t48769;753524;9837427;talek
2004;Alternate_Aardvark_Communal_Den;08;t48841;746470;9837032;talek
2004;Paradise_Den;08;t48841;746378;9836793;talek
2004;Holiday_Communal_Den;08;t48913;746505;9836828;talek
2005;No_See_Em_Den;03;t51519;744984;9840806;talek
2005;Tumo_Hill_Den;04;t52211;752769;9838944;talek
2005;FM_Den;05;t52759;752888;9838905;talek
2005;Sunrise_Valley_Communal_Den/Natal_Den;07;t53369;753524;9837427;talek
2005;Over_the_River_Den;07;t53586;753542;9837353;talek
2005;Talek_Lugga_Crossing;08;t53902;745099;9840066;talek
2005;Fever_Tree_Natal_Den/Communal_Den_Complex;09;t54214;753681;9837484;talek
2005;Boulevard_Den;12;t55678.1;744985;9839134;talek
2006;Fever_Tree_Natal_Den/Communal_Den_Complex;01;t55901;753681;9837484;talek
2006;Lala_Den;06;t58112;744591;9841032;talek
2006;Green_Den;06;t58248;729719;9840569;talek
2006;Kinda-See-Em_Den;08;t58973;745124;9840497;talek
2006;No_See_Em_Den;08;t58974;744984;9840806;talek
2006;Den_of_Perfection;09;t59153;746689;9836798;talek
2006;Sunrise_Valley_Communal_Den/Natal_Den;10;t59295;753524;9837427;talek
2006;Aardwolf_Communal_Den;10;t59327;745294;9838050;talek
2006;Maji_Fisi;10;t59328;745018;9838398;talek
2006;Holiday_Communal_Den;11;t59636;746505;9836828;talek
2006;Roadside_Den;12;t59764;746619;9836966;talek
2007;Banana_Tree_Communal_Den;05;t60367;740512;9859417;talek
2007;Fig_Tree_Den_2;06;t60628;736615;9840574;talek
2007;Sun_Den;07;t60830;741258;9840562;talek
2007;Wicked_Den;07;t60895;740636;9839896;talek
2007;Ranger_Den;12;t61791;745281;9840331;talek
2008;Ranger_Den;01;t61821;745281;9840331;talek
2008;Kinda-See-Em_Den;05;t62554;745124;9840497;talek
2008;Crocodile_Camp_Den;05;t62624;746008;9840226;talek
2008;Talek_Gate;05;t62624;745602;9840397;talek
2008;Boulevard_Den;07;t63147;744985;9839134;talek
2008;Talek_Lugga_Crossing;08;t63279;745099;9840066;talek
2008;Paradise_Den;10;t63743;746378;9836793;talek
2008;Waverly_Den;10;t63871;744929;9839296;talek
2008;Wayland_Den;11;t64040;745254;9839856;talek
2009;Ranger_Den;01;t64670;745281;9840331;talek
2009;Kinda-See-Em_Den;05;t65234;745124;9840497;talek
2009;No_See_Em_Den;06;t65478;744984;9840806;talek
2009;Alamo_Natal_Den;06;t65723;747851;9836348;talek
2009;Kitchen_Natal_Den;06;t65784;746684;9836802;talek
2009;Paradise_Den;07;t65821;746378;9836793;talek
2009;Boulevard_Den;07;t65836;744985;9839134;talek
2009;Holiday_Communal_Den;07;t65850;746505;9836828;talek
2009;Magic_Culvert;07;t65850;747371;9836013;talek
2009;Lone_Ranger_Natal_Den;08;t66217;747004;9836618;talek
2009;Croton_Edge_Communal_Den;08;t66229;746952;9837148;talek
2009;T_Stop;08;t66413;745229;9837857;talek
2010;Kinda-See-Em_Den;02;t68257;745124;9840497;talek
2010;Kinda_See_Em_Den_Two;03;t68856;745085;9840608;talek
2010;Crocodile_Den;06;t69918;746043;9840060;talek
2010;Crocodile_Camp_Den;06;t69937;746008;9840226;talek
2010;Dave's_Den;06;t70007;747491;9837478;talek
2010;Croton_Edge_Communal_Den;07;t70369;746952;9837148;talek
2010;Alamo_Natal_Den;08;t70794;747851;9836348;talek
2010;Culvert_of_13_Lugga_South;08;t70834;747880;9835456;talek
2010;Main_Den_One_Creek_Crossing;08;t70922;747797;9836633;talek
2010;Magic_Culvert;09;t71044;747371;9836013;talek
2010;Lone_Ranger_Natal_Den;09;t71069;747004;9836618;talek
2010;No_See_Em_Den;10;t71336;744984;9840806;talek
2010;Lala_Den;10;t71354;744591;9841032;talek
2010;Alternate_Aardvark_Communal_Den;12;t71760;746470;9837032;talek
2011;Croton_Edge_Communal_Den;01;t71824;746952;9837148;talek
2011;Plantation_Den;03;t72298;746293;9839498;talek
2011;Main_Den_One_Creek_Crossing;03;t72336;747797;9836633;talek
2011;Alamo_Natal_Den;03;t72336;747851;9836348;talek
2011;Dave_Den;03;t72433;747491;9837478;talek
2011;Dave's_Den;04;t72465;747491;9837478;talek
2011;Riverbend_Den;04;t72593;748477;9838427;talek
2011;Resurrection_Communal_Den;05;t72904;747569;9838508;talek
2011;Teapot_Tree_Crossing;06;t73179;747432;9837579;talek
2011;Centre_Tree;06;t73209;747366;9838133;talek
2011;Lightning_Den;06;t73210;747326;9838572;talek
2011;Den_One_Creek_Den_Complex;07;t73644;747634;9837096;talek
2011;T_Stop;07;t73906;745229;9837857;talek
2011;Aardwolf_Communal_Den;07;t73906;745294;9838050;talek
2011;Kinda-See-Em_Den;08;t74015;745124;9840497;talek
2011;Dion's_Natal_Den;10;t74569;747075;9837512;talek
2012;Big_Bush_Den;01;t75182;748061;9838502;talek
2012;Riverbend_Den;02;t75640;748477;9838427;talek
2012;Kinda_See_Em_Den_Two;03;t76047;745085;9840608;talek
2012;Resurrection_Communal_Den;05;t76696;747569;9838508;talek
2012;Landmark_Tree;07;t77839;748924;9838183;talek
2012;Dave's_Den;08;t78084;747491;9837478;talek
2012;Rhino_Skull_Lugga_Crossing;08;t78110;746673;9837962;talek
2012;Croton_Edge_Communal_Den;08;t78110;746952;9837148;talek
2012;Leopard_Sex_Crossing;09;t78403;747704;9837000;talek
2012;Stupid_Tree;09;t78413;746997;9836480;talek
2012;Teapot_Tree_Crossing;09;t78414;747432;9837579;talek
2012;Teapot_Tree;09;t78523;747579;9837618;talek
2012;Pothole_Den;09;t78523;747622;9837700;talek
2012;Vulture_Crossing;09;t78545;747750;9837284;talek
2012;Main_Den_One_Creek_Crossing;09;t78581;747797;9836633;talek
2012;Century_Crossing;11;t79219;747636;9837248;talek
2012;Central_Park_Communal_Den;11;t79449;746472;9838970;talek
2012;Saga_Lugga,_Bottom;11;t79453;746397;9838510;talek
2013;Central_Park_Communal_Den;01;t80028;746472;9838970;talek
2013;Dream_Camp;02;t80612;746192;9838993;talek
2013;Riverbend_Den;06;t80911;748477;9838427;talek
2013;Plantation_Den;06;t81138;746293;9839498;talek
2013;Dave's_Den;06;t81306;747491;9837478;talek
2013;Century_Crossing;03;t81725;747636;9837248;talek
2013;Box_Crossing;03;t81737;748090;9837837;talek
2013;Vulture_Crossing;03;t81737;747750;9837284;talek
2013;Mystery_Spot;04;t82084;746175;9839389;talek
2013;Talek_Gate;04;t82084;745602;9840397;talek
2013;Teapot_Tree_Crossing;07;t82651;747432;9837579;talek
2013;Kinda-See-Em_Den;07;t82696;745124;9840497;talek
2013;Kilong_Crossing;07;t82861;745194;9840304;talek
2013;Pothole_Den;07;t83089;747622;9837700;talek
2013;Leopard_Sex_Crossing;07;t83155;747704;9837000;talek
2013;Resurrection_Communal_Den;07;t83206;747569;9838508;talek
2013;Resurrection_Main_Den;08;t83280;747453;9838546;talek
2013;Talek_Lugga_Crossing;11;t84611;745099;9840066;talek
2014;Magic_Bush_Den;01;t85084;746745;9838653;talek
2014;Riverbend_Den;02;t85489;748477;9838427;talek
2014;Aqua's_Natal_Den_2014;03;t86036;743212;9836350;talek
2014;Dave's_Den;03;t86042;747491;9837478;talek
2014;Dicks_Den;04;t86083;747390;9837245;talek
2014;Dave_Den;04;t86120;747491;9837478;talek
2014;Gardenia_Den;05;t86449;746979;9836020;talek
2014;Secluded_Den;06;t86881;747062;9837168;talek
2014;Yoplait_Den;06;t86928;741720;9836168;talek
2014;Den_One_Creek_Den_Complex;06;t86988;747634;9837096;talek
2014;Roosevelt's_Natal_Den_2014;07;t87121;741941;9835865;talek
2014;DOC_Communal_Den;07;t87126;747634;9837096;talek
2014;DOC_Den_2;07;t87314;747700;9837031;talek
2014;Milkyway_Den;07;t87427;742848;9835677;talek
2014;Argon's_Natal_Den_2014;07;t87449;743021;9835986;talek
2014;Maggie_Den;07;t87466;742990;9835692;talek
2014;Cash_Den;08;t87698;747481;9837043;talek
2014;Pole_not_Pole_Den;08;t87758;743572;9837544;talek
2014;Singizi_Den;09;t87831;747084;9835640;talek
2014;Handsome_H_Tree;09;t87941.1;743566;9837466;talek
2014;Lucky_Leopard_Den;09;t87963;742437;9836924;talek
2014;Nook;09;t88024;747100;9835502;talek
2014;Pond_Lugga_Crossing;10;t88537;743070;9836024;talek
2014;Teapot_Tree_Crossing;10;t88671;747432;9837579;talek
2014;Kinda_See_Em_Den_Three;11;t88769;745114;9840561;talek
2014;Leopard_Sex_Crossing;11;t88797;747704;9837000;talek
2014;Main_Den_One_Creek_Crossing;11;t88835;747797;9836633;talek
2014;Magic_Culvert;11;t88835;747371;9836013;talek
2014;Century_Crossing;11;t89210;747636;9837248;talek
2014;Kinda-See-Em_Den;12;t89372;745124;9840497;talek
2015;DOC_Communal_Den;01;t89772;747634;9837096;talek
2015;Den_One_Creek_Den_Complex;01;t89915;747634;9837096;talek
2015;Century_Crossing;01;t89945;747636;9837248;talek
2015;Riverbend_Den;01;t90134;748477;9838427;talek
2015;Lazy_French_Den;03;t90788;741547;9835066;talek
2015;Teapot_Tree_Crossing;03;t90863;747432;9837579;talek
2015;Dave's_Den;03;t90863;747491;9837478;talek
2015;Tangawizi_Den;05;t91062;741030;9836512;talek
2015;Main_Den_One_Creek_Crossing;05;t91172;747797;9836633;talek
2015;Latrine;06;t91509;744470;9835638;talek
2015;Three_Sisters;06;t91593;741492;9836298;talek
2015;Roosevelt's_Natal_Den_2014;07;t91659;741941;9835865;talek
2015;Photogenic_Tree;07;t91659;742761;9836578;talek
2015;Kinda-See-Em_Den;08;t92120;745124;9840497;talek
2015;Nomadic_Den;08;t92182;741877;9835276;talek
2015;Sugar_Daddy_Den;08;t92215;742514;9835091;talek
2015;Dicks_Den;08;t92219;747390;9837245;talek
2015;Candybar_Crossing;08;t92255;742442;9834986;talek
2015;Milkyway_Den;08;t92258;742848;9835677;talek
2015;Resurrection_Communal_Den;09;t92758;747569;9838508;talek
2015;Flintstone_Den;09;t92773;747000;9837149;talek
2015;Yoplait_Den;10;t92898;741720;9836168;talek
2015;Love_Stinks_Den;10;t92898;741286;9836630;talek
2015;Resurrection_Main_Den;12;t93310;747453;9838546;talek
2016;Riverbend_Den;01;t93355;748477;9838427;talek
2016;Resurrection_Main_Den;01;t93360;747453;9838546;talek
2016;Resurrection_Communal_Den;01;t93518;747569;9838508;talek
2016;Lucky_Leopard_Den;03;t94412;742437;9836924;talek
2016;Dave's_Den;04;t94741;747491;9837478;talek
2016;Dave_Den;05;t95172;747491;9837478;talek
2016;Cliff_Den;06;t95645;746018;9837982;talek
2016;Dream_Camp;07;t95834;746192;9838993;talek
2016;Central_Park_Communal_Den;07;t95834;746472;9838970;talek
2016;Saga_Lugga;07;t96081;746095;9838250;talek
2016;Den_One_Creek_Den_Complex;10;t96837;747634;9837096;talek
2016;Tangawizi_Den;10;t96875;741030;9836512;talek
2016;DOC_Communal_Den;10;t96932;747634;9837096;talek
2016;Century_Crossing;11;t97362;747636;9837248;talek
2016;No_Name_Hill_Tree;12;t97768;748044;9837449;talek
2016;Stupid_Bushes,_Northwest_Edge;12;t98049;746431;9837129;talek
2016;Stupid_Tree;12;t98049;746997;9836480;talek
2016;Cheetah_Tree_Crossing;12;t98057;748565;9837620;talek
2016;Main_Den_One_Creek_Crossing;12;t98057;747797;9836633;talek
2017;Riverbend_Den;01;t98142;748477;9838427;talek
2017;Box_Crossing;01;t98168;748090;9837837;talek
2017;Dave_Den;01;t98190;747491;9837478;talek
2017;Teapot_Tree_Crossing;02;t98440;747432;9837579;talek
2017;Centre_Tree;04;t99137;747366;9838133;talek
2017;Resurrection_Communal_Den;06;t99662.1;747569;9838508;talek
1996;Talek_Lugga_Crossing;07;t9999;745099;9840066;talek
