"";"landmark_id";"year";"session";"total_cubs"
"132";"Resurrection_Main_Den";2016;"t93688";14
"133";"Resurrection_Main_Den";2016;"t93751";14
"134";"Resurrection_Main_Den";2016;"t93847";14
"135";"Resurrection_Main_Den";2016;"t93850";14
"136";"Resurrection_Main_Den";2016;"t93887";14
"137";"Resurrection_Main_Den";2016;"t93955";14
"138";"Resurrection_Main_Den";2016;"t94101";14
"139";"Resurrection_Main_Den";2016;"t94135";14
"140";"Resurrection_Main_Den";2016;"t94199";14
"141";"Resurrection_Main_Den";2016;"t94281";14
"142";"Resurrection_Main_Den";2017;"t99176";14
"143";"Riverbend_Den";2011;"t72655";14
"144";"Riverbend_Den";2011;"t72811";14
"145";"Riverbend_Den";2012;"t76310";14
"146";"Riverbend_Den";2012;"t76367";14
"147";"Riverbend_Den";2012;"t76522";14
"148";"Riverbend_Den";2012;"t76742";14
"149";"Riverbend_Den";2012;"t76756";14
"150";"Riverbend_Den";2012;"t76820";14
"151";"Riverbend_Den";2012;"t77215";14
"152";"Riverbend_Den";2012;"t77364";14
"153";"Riverbend_Den";2012;"t77571";14
"154";"Riverbend_Den";2012;"t77742";14
"155";"Riverbend_Den";2013;"t80932";14
"156";"Riverbend_Den";2013;"t81051";14
"157";"Riverbend_Den";2013;"t81985";14
"158";"Riverbend_Den";2013;"t82115";14
"159";"Riverbend_Den";2013;"t82465";14
"160";"Riverbend_Den";2013;"t82579";14
"161";"Riverbend_Den";2013;"t82609";14
"162";"Riverbend_Den";2013;"t82634";14
"163";"Runway_Den";2019;"s109567";14
"164";"Schiphol_Den";2013;"s10543";14
"165";"Tigris_Den";2014;"s12972";14
"166";"Tigris_Den";2014;"s12975";14
"167";"Uji_Den";2014;"s13865";14
"168";"Uji_Den";2014;"s13871";14
"169";"Uji_Den";2014;"s13875";14
"170";"Alamo_Natal_Den";2011;"t73330";13
"171";"Big_Bush_Communal_Den";2017;"t99762";13
"172";"Big_Bush_Communal_Den";2022;"t132446";13
"173";"Central_Park_Communal_Den";2013;"t81439";13
"174";"Central_Park_Communal_Den";2013;"t81475";13
"175";"Central_Park_Communal_Den";2013;"t81501";13
"176";"Central_Park_Communal_Den";2013;"t81871";13
"177";"Central_Park_Communal_Den";2018;"t102705";13
"178";"Central_Park_Communal_Den";2018;"t102738";13
"179";"DOC_Den_2";2017;"t100634";13
"180";"Dave's_Den";2010;"t70122";13
"181";"Dave's_Den";2010;"t70292";13
"182";"Dave's_Den";2010;"t70327";13
"183";"Dave's_Den";2011;"t73090";13
"184";"Dave's_Den";2015;"t91928";13
"185";"Dave's_Den";2015;"t92059";13
"186";"Dave's_Den";2015;"t92153";13
"187";"Dave's_Den";2015;"t92164";13
"188";"Dave's_Den";2015;"t92335";13
"189";"Dave's_Den";2015;"t92614";13
"190";"Dave's_Den";2015;"t92643";13
"191";"DeGaulle_Den";2009;"s1779";13
"192";"DeGaulle_Den";2009;"s1821";13
"193";"DeGaulle_Den";2009;"s1825";13
"194";"DeGaulle_Den";2009;"s1842";13
"195";"DeGaulle_Den";2013;"s10522";13
"196";"DeGaulle_Den";2019;"s109159";13
"197";"DeGaulle_Den";2019;"s109163";13
"198";"DeGaulle_Den";2019;"s109168";13
"199";"DeGaulle_Den";2019;"s109176";13
"200";"DeGaulle_Den";2019;"s109179";13
"201";"DeGaulle_Den";2019;"s109184";13
"202";"DeGaulle_Den";2019;"s109418";13
"203";"DeGaulle_Den";2019;"s109421";13
"204";"DeGaulle_Den";2019;"s109427";13
"205";"Dicks_Den";2015;"t92282";13
"206";"Dicks_Den";2017;"t98530";13
"207";"Flintstone_Den";2015;"t92773";13
"208";"Flintstone_Den";2015;"t92788";13
"209";"Flintstone_Den";2015;"t92931";13
"210";"Flintstone_Den";2015;"t92967";13
"211";"Flintstone_Den";2015;"t93048";13
"212";"Flintstone_Den";2015;"t93054";13
"213";"Flintstone_Den";2015;"t93074";13
"214";"IAT_Den";2016;"s19171";13
"215";"IAT_Den";2016;"s19193";13
"216";"J_Fab_Den";2017;"s21483";13
"217";"Kinda-See-Em_Den";2013;"t83058";13
"218";"Kinda_See_Em_Den_Two";2010;"t69336";13
"219";"Kinda_See_Em_Den_Two";2010;"t69382";13
"220";"Kinda_See_Em_Den_Two";2010;"t69551";13
"221";"Lighthouse_Den";2011;"s4882";13
"222";"Lugga_Den_II";2019;"s109799";13
"223";"Lugga_Den_II";2019;"s109810";13
"224";"Lugga_Den_II";2019;"s109876";13
"225";"Lugga_Den_II";2019;"s109890";13
"226";"Moat_Den";2017;"s21070";13
"227";"Nogales_Den";2019;"s110433";13
"228";"Nyumba_Ndege_Den";2011;"s6367";13
"229";"Plantation_Den";2003;"t39185";13
"230";"Plantation_Den";2013;"t81172";13
"231";"Plantation_Den";2013;"t81336";13
"232";"Portcullis_Den";2016;"s20695";13
"233";"Portcullis_Den";2016;"s20707";13
"234";"Portcullis_Den";2016;"s20722";13
"235";"Portcullis_Den";2016;"s20732";13
"236";"Portcullis_Den";2016;"s20757";13
"237";"Portcullis_Den";2016;"s20789";13
"238";"Portcullis_Den";2017;"s21084";13
"239";"Resurrection_Communal_Den";2011;"t73004";13
"240";"Resurrection_Communal_Den";2011;"t73143";13
"241";"Resurrection_Main_Den";2016;"t93536";13
"242";"Resurrection_Main_Den";2016;"t93575";13
"243";"Resurrection_Main_Den";2016;"t93649";13
"244";"Resurrection_Main_Den";2016;"t93717";13
"245";"Resurrection_Main_Den";2016;"t93728";13
"246";"Resurrection_Main_Den";2016;"t93773";13
"247";"Resurrection_Main_Den";2016;"t93872";13
"248";"Resurrection_Main_Den";2016;"t93912";13
"249";"Resurrection_Main_Den";2016;"t94048";13
"250";"Resurrection_Main_Den";2016;"t94125";13
"251";"Resurrection_Main_Den";2016;"t94178";13
"252";"Resurrection_Main_Den";2017;"t99119";13
"253";"Resurrection_Main_Den";2017;"t99608";13
"254";"Riverbend_Den";2011;"t72613";13
"255";"Riverbend_Den";2011;"t72761";13
"256";"Riverbend_Den";2011;"t72829";13
"257";"Riverbend_Den";2011;"t72860";13
"258";"Riverbend_Den";2012;"t75483";13
"259";"Riverbend_Den";2012;"t76231";13
"260";"Riverbend_Den";2012;"t76259";13
"261";"Riverbend_Den";2012;"t76271";13
"262";"Riverbend_Den";2012;"t76337";13
"263";"Riverbend_Den";2012;"t77046";13
"264";"Riverbend_Den";2012;"t77265";13
"265";"Riverbend_Den";2012;"t77327";13
"266";"Riverbend_Den";2012;"t77655";13
"267";"Riverbend_Den";2012;"t77759";13
"268";"Riverbend_Den";2012;"t77833";13
"269";"Riverbend_Den";2013;"t80949";13
"270";"Riverbend_Den";2013;"t81026";13
"271";"Riverbend_Den";2013;"t82126";13
"272";"Riverbend_Den";2013;"t82187";13
"273";"Riverbend_Den";2013;"t82543";13
"274";"Runway_Den";2020;"s110524";13
"275";"Runway_Den";2020;"s110527";13
"276";"Runway_Den";2020;"s110572";13
"277";"Runway_Den_3";2019;"s109482";13
"278";"Schiphol_Den";2013;"s10488";13
"279";"Schiphol_Den";2013;"s10546";13
"280";"Schiphol_Den";2013;"s10558";13
"281";"Schiphol_Den";2013;"s10583";13
"282";"Schiphol_Den";2013;"s10593";13
"283";"Tigris_Den";2014;"s12971";13
"284";"Tigris_Den";2014;"s12988";13
"285";"Uji_Den";2014;"s13838";13
"286";"Uji_Den";2014;"s13847";13
"287";"Whomping_Willow_Den";2018;"s23093";13
"288";"Whooping_Cami_Den";2015;"s16349";13
"289";"Alamo_Natal_Den";2011;"t73327";12
"290";"Bastion_Den";2016;"s20316";12
"291";"Big_Bush_Communal_Den";2017;"t99277";12
"292";"Big_Bush_Communal_Den";2017;"t99288";12
"293";"Big_Bush_Communal_Den";2017;"t99707";12
"294";"Big_Bush_Communal_Den";2017;"t99735";12
"295";"Big_Bush_Communal_Den";2017;"t99748";12
"296";"Big_Bush_Communal_Den";2017;"t99752";12
"297";"Big_Bush_Communal_Den";2022;"t131359";12
"298";"Big_Bush_Communal_Den";2022;"t132453";12
"299";"Big_Sky_Den";2019;"s110206";12
"300";"Big_Sky_Den";2019;"s110224";12
"301";"Big_Sky_Den";2019;"s110228";12
"302";"Central_Park_Communal_Den";2012;"t79977";12
"303";"Central_Park_Communal_Den";2013;"t81410";12
"304";"Central_Park_Communal_Den";2013;"t81654";12
"305";"Central_Park_Communal_Den";2013;"t81670";12
"306";"Central_Park_Communal_Den";2013;"t81710";12
"307";"Central_Park_Communal_Den";2013;"t81806";12
"308";"Central_Park_Communal_Den";2018;"t102716";12
"309";"Central_Park_Communal_Den";2018;"t102756";12
"310";"Crepes_Den";2011;"s6627";12
"311";"Crocodile_Den";2010;"t69956";12
"312";"Crocodile_Den";2010;"t70000";12
"313";"Croton_Edge_Communal_Den";2010;"t71035";12
"314";"DOC_Communal_Den";2014;"t87154";12
"315";"Dave's_Den";2010;"t70310";12
"316";"Dave's_Den";2015;"t91949";12
"317";"Dave's_Den";2015;"t92014";12
"318";"Dave's_Den";2015;"t92033";12
"319";"Dawn_Den";2019;"s109694";12
"320";"Dawn_Den";2019;"s109703";12
"321";"Dawn_Den";2019;"s109710";12
"322";"Dawn_Den";2019;"s109719";12
"323";"Dawn_Den";2019;"s109735";12
"324";"Dawn_Den";2019;"s109737";12
"325";"Dawn_Den_2";2019;"s109772";12
"326";"Dawn_Den_2";2019;"s109780";12
"327";"DeGaulle_Den";2009;"s1804";12
"328";"DeGaulle_Den";2009;"s1814";12
"329";"DeGaulle_Den";2019;"s109174";12
"330";"DeGaulle_Den";2019;"s109191";12
"331";"DeGaulle_Den";2019;"s109401";12
"332";"DeGaulle_Den";2019;"s109431";12
"333";"Dicks_Den";2017;"t98537";12
"334";"Flintstone_Den";2015;"t92899";12
"335";"Flintstone_Den";2015;"t92977";12
"336";"Flintstone_Den";2015;"t93090";12
"337";"Flintstone_Den";2015;"t93206";12
"338";"Flintstone_Den";2017;"t101172";12
"339";"Flintstone_Den";2017;"t101583";12
"340";"Grits_Den";2011;"s6497";12
"341";"Grits_Den";2011;"s6515";12
"342";"Grits_Den";2011;"s6525";12
"343";"Houdini_Den";2016;"s18954";12
"344";"IAT_Den";2016;"s18640";12
"345";"IAT_Den";2016;"s18710";12
"346";"IAT_Den";2016;"s19160";12
"347";"IAT_Den";2016;"s19206";12
"348";"IAT_Den";2016;"s19211";12
"349";"IAT_Den";2016;"s19240";12
"350";"J_Fab_Den";2016;"s18869";12
"351";"J_Fab_Den";2016;"s19184";12
"352";"Kinda-See-Em_Den";2008;"t63420";12
"353";"Kinda-See-Em_Den";2008;"t63442";12
"354";"Kinda-See-Em_Den";2008;"t63448";12
"355";"Kinda-See-Em_Den";2008;"t63462";12
"356";"Kinda-See-Em_Den";2008;"t63468";12
"357";"Kinda-See-Em_Den";2008;"t63480";12
"358";"Kinda-See-Em_Den";2008;"t63503";12
"359";"Kinda-See-Em_Den";2013;"t82771";12
"360";"Kinda-See-Em_Den";2013;"t83144";12
"361";"Kinda_See_Em_Den_Two";2010;"t69022";12
"362";"Kinda_See_Em_Den_Two";2010;"t69160";12
"363";"Kinda_See_Em_Den_Two";2010;"t69220";12
"364";"Lugga_Den_II";2019;"s109331";12
