landmark_id;utme;utmn;date;year 
k12;750377;9834804;NA;
k14;752540;9836341;NA;
k15;752336;9836913;NA;
k16;751493;9837485;NA;
k18;748218;9837857;NA;
k19;747977;9838171;NA;
k2;747901;9836346;NA;
k20;746974;9836623;NA;
k22-?a;746492;9836882;NA;
k22-?b;746214;9837177;NA;
k23;748590;9838207;NA;
Runway Den;723060;9844579;7/30/2008;2008
Runway Den II;723179;9844719;7/30/2008 2008-08-01;2008
Salander Den;720032;9850724;2/27/2014 2010-10-24;2010
Saucer Den;733051;9842130;2003;2003
Saucy Natal Den;749522;9838398;10/5/2013,40927;2013
Sault St. Marie Den;716352;9844324;1/23/2011 2011-01-25;2011
Sawyer Den;725256;9840952;10/11/2010 2010-10-13;2010
Sayid Den Deleted;725451;9841033;10/31/2010;2010
Scairdy Cat Den;740774;9839766;1/17/2010;2010
Schiphol Den;723441;9844921;10/11/2010 2010-10-13;2010
Schmuck Den;720374;9839933;8/10/2013 2013-08-10;2013
Schmutzy Den;720201;9839904; 2013-07-27;2013
Schmuzty Den;720201;9839904;7/27/2013;2013
Scrapple Den;724111;9846482;4/20/2011 2011-04-22;2011
Seatac Den;723326;9844804;8/1/2009 2009-08-03;2009
Secluded Den;747062;9837168;41800;
Mexicali Den;716255;9842748; 2012-09-03;2012
Mexicalli Den;716255;9842748;9/3/2012;2012
Middle Horseshoe Natal Den;743272;9838305;2001,37171;2001
Middle of Nowhere Communal Den;735948;9837992;8/8/2009;2009
Shit Show Den;731645;9843612;2012;2012
Shooting Tree Communal Den;751538;9836877;NA;
Silhouette Den;733106;9842233;2004;2004
Deep Fried Den;735724;9839330;2009;2009
Def Den II;725495;9841916; 2017-05-05;2017
Defenestrate Den;725405;9841812;3/13/2015 2015-03-13;2015
Defenestrate Den2;725495;9841916;5/5/2017;2017
DeGaulle Den;723652;9844975;11/6/2008 2008-11-08;2008
DeGaulle Den II;723670;9844868;3/27/2009 2009-03-29;2009
Democracy Den;742067;9835491;1/28/2015,42032;2015
Den of Perfection;746689;9836798;2006;2006
Den One Creek Den Complex;747634;9837096;4/1994;1994
Den Tist;731171;9840807;2012;2012
Den with a View;753262;9837510;NA;
Dharma Den;725495;9840858;5/26/2010 2010-05-28;2010
Diagon Alley Den;717949;9849283;10/2/2010 2010-10-04;2010
Diagon Alley Den II;717981;9849311; 2017-08-30;2017
Diagon Alley ll;717981;9849311;8/30/2017;2017
Dicks Den;747390;9837245;41715;
Dion's Natal Den;747075;9837512;40830;
Disappointment Den;721449;9846717;6/27/2008 2008-06-29;2008
Disaster Den;733173;9842104;2003;2003
DOC Communal Den;747634;9837096;40726;
DOC Den 2;747700;9837031;41835;
