session;landmark_id;date;year;month;day;clan;utme;utmn;category
s1021;Rocky_Point_Den;2010-04-08;2010;04;08;happyzebra;716191;9842646;cd
s1026;Rocky_Point_Den;2010-04-13;2010;04;13;happyzebra;716191;9842646;cd
s1027;Rocky_Point_Den;2010-04-13;2010;04;13;happyzebra;716191;9842646;cd
s1028;Rocky_Point_Den;2010-04-14;2010;04;14;happyzebra;716191;9842646;cd
s10287;National_Cornchip_Day_Den;2013-02-13;2013;02;13;serenan;720449;9847591;cd
s10290;National_Cornchip_Day_Den;2013-02-14;2013;02;14;serenan;720449;9847591;cd
s10291;National_Cornchip_Day_Den;2013-02-15;2013;02;15;serenan;720449;9847591;cd
s10291.1;Schiphol_Den;2013-02-15;2013;02;15;serenan;723441;9844921;cd
s10292.1;National_Cornchip_Day_Den;2013-02-16;2013;02;16;serenan;720449;9847591;cd
s10294;National_Cornchip_Day_Den;2013-02-16;2013;02;16;happyzebra;720449;9847591;cd
s10299;National_Cornchip_Day_Den;2013-02-18;2013;02;18;serenan;720449;9847591;cd
s103;Holy_Grail_Den;2008-08-20;2008;08;20;happyzebra;719087;9840152;cd
s1030;Rocky_Point_Den;2010-04-17;2010;04;17;happyzebra;716191;9842646;cd
s10303;National_Cornchip_Day_Den;2013-02-18;2013;02;18;serenan;720449;9847591;cd
s10307;National_Cornchip_Day_Den;2013-02-19;2013;02;19;serenan;720449;9847591;cd
s10310;National_Cornchip_Day_Den;2013-02-22;2013;02;22;serenan;720449;9847591;cd
s10317;National_Cornchip_Day_Den;2013-02-24;2013;02;24;serenan;720449;9847591;cd
s10321;National_Cornchip_Day_Den;2013-02-24;2013;02;24;serenan;720449;9847591;cd
s10332;National_Cornchip_Day_Den;2013-02-25;2013;02;25;serenan;720449;9847591;cd
s10335;National_Cornchip_Day_Den;2013-02-27;2013;02;27;serenan;720449;9847591;cd
s10349;National_Cornchip_Day_Den;2013-02-28;2013;02;28;serenan;720449;9847591;cd
s1035;Rocky_Point_Den;2010-04-18;2010;04;18;happyzebra;716191;9842646;cd
s10358;National_Cornchip_Day_Den;2013-03-02;2013;03;02;serenan;720449;9847591;cd
s10366;National_Cornchip_Day_Den;2013-03-04;2013;03;04;serenan;720449;9847591;cd
s10380;National_Cornchip_Day_Den;2013-03-06;2013;03;06;serenan;720449;9847591;cd
s10381;Schiphol_Den;2013-03-07;2013;03;07;serenan;723441;9844921;cd
s10382;National_Cornchip_Day_Den;2013-03-10;2013;03;10;serenan;720449;9847591;cd
s10400;National_Cornchip_Day_Den;2013-03-13;2013;03;13;serenan;720449;9847591;cd
s10406;National_Cornchip_Day_Den;2013-03-15;2013;03;15;serenan;720449;9847591;cd
s10408;National_Cornchip_Day_Den;2013-03-15;2013;03;15;serenan;720449;9847591;cd
s1041;Rocky_Point_Den;2010-04-25;2010;04;25;happyzebra;716191;9842646;cd
s1042;Rocky_Point_Den;2010-04-29;2010;04;29;happyzebra;716191;9842646;cd
s10424;National_Cornchip_Day_Den;2013-03-16;2013;03;16;serenan;720449;9847591;cd
s10426;National_Cornchip_Day_Den;2013-03-18;2013;03;18;serenan;720449;9847591;cd
s10431;Schiphol_Den;2013-03-20;2013;03;20;serenan;723441;9844921;cd
s10433;Schiphol_Den;2013-03-22;2013;03;22;serenan;723441;9844921;cd
s10436;National_Cornchip_Day_Den;2013-03-22;2013;03;22;serenan;720449;9847591;cd
s10438;National_Cornchip_Day_Den;2013-03-22;2013;03;22;serenan;720449;9847591;cd
s1044;Rocky_Point_Den;2010-04-30;2010;04;30;happyzebra;716191;9842646;cd
s10446;Schiphol_Den;2013-03-23;2013;03;23;serenan;723441;9844921;cd
s10452;Schiphol_Den;2013-03-23;2013;03;23;serenan;723441;9844921;cd
s10453;Schiphol_Den;2013-03-23;2013;03;23;serenan;723441;9844921;cd
s10456;Schiphol_Den;2013-03-24;2013;03;24;serenan;723441;9844921;cd
s10458;Schiphol_Den;2013-03-24;2013;03;24;serenan;723441;9844921;cd
s10459;Schiphol_Den;2013-03-25;2013;03;25;serenan;723441;9844921;cd
s1046;Rocky_Point_Den;2010-04-30;2010;04;30;happyzebra;716191;9842646;cd
s10464;Schiphol_Den;2013-03-26;2013;03;26;serenan;723441;9844921;cd
s10466;Schiphol_Den;2013-03-26;2013;03;26;serenan;723441;9844921;cd
s10472;Schiphol_Den;2013-03-26;2013;03;26;serenan;723441;9844921;cd
s10473;Schiphol_Den;2013-03-29;2013;03;29;serenan;723441;9844921;cd
s10474;Schiphol_Den;2013-03-31;2013;03;31;serenan;723441;9844921;cd
s10475;Schiphol_Den;2013-04-02;2013;04;02;serenan;723441;9844921;cd
s10477;Schiphol_Den;2013-04-04;2013;04;04;serenan;723441;9844921;cd
s10478;Schiphol_Den;2013-04-08;2013;04;08;serenan;723441;9844921;cd
s10480;Schiphol_Den;2013-04-08;2013;04;08;serenan;723441;9844921;cd
s10483;Schiphol_Den;2013-04-09;2013;04;09;serenan;723441;9844921;cd
s10484;DeGaulle_Den;2013-04-09;2013;04;09;serenan;723652;9844975;cd
s10485;DeGaulle_Den;2013-04-11;2013;04;11;serenan;723652;9844975;cd
s10486;Schiphol_Den;2013-04-11;2013;04;11;serenan;723441;9844921;cd
s10487;DeGaulle_Den;2013-04-12;2013;04;12;serenan;723652;9844975;cd
s10488;Schiphol_Den;2013-04-13;2013;04;13;serenan;723441;9844921;cd
s10494;DeGaulle_Den;2013-04-14;2013;04;14;serenan;723652;9844975;cd
s10495;DeGaulle_Den;2013-04-16;2013;04;16;serenan;723652;9844975;cd
s10497;Schiphol_Den;2013-04-18;2013;04;18;serenan;723441;9844921;cd
s10498;DeGaulle_Den;2013-04-18;2013;04;18;serenan;723652;9844975;cd
s10505;DeGaulle_Den;2013-04-19;2013;04;19;serenan;723652;9844975;cd
s10507;DeGaulle_Den;2013-04-20;2013;04;20;serenan;723652;9844975;cd
s10508.1;DeGaulle_Den;2013-04-22;2013;04;22;serenan;723652;9844975;cd
s10511;DeGaulle_Den;2013-04-22;2013;04;22;serenan;723652;9844975;cd
s10512;DeGaulle_Den;2013-04-22;2013;04;22;serenan;723652;9844975;cd
s10513;DeGaulle_Den;2013-04-23;2013;04;23;serenan;723652;9844975;cd
s10522;DeGaulle_Den;2013-04-24;2013;04;24;serenan;723652;9844975;cd
s10524;DeGaulle_Den;2013-04-25;2013;04;25;serenan;723652;9844975;cd
s10525;Schiphol_Den;2013-04-25;2013;04;25;serenan;723441;9844921;cd
s10526;DeGaulle_Den;2013-04-26;2013;04;26;serenan;723652;9844975;cd
s10528;DeGaulle_Den;2013-04-26;2013;04;26;serenan;723652;9844975;cd
s10531;Schiphol_Den;2013-04-28;2013;04;28;serenan;723441;9844921;cd
s10532;DeGaulle_Den;2013-04-28;2013;04;28;serenan;723652;9844975;cd
s10536;Schiphol_Den;2013-05-03;2013;05;03;serenan;723441;9844921;cd
s10538;Schiphol_Den;2013-05-04;2013;05;04;serenan;723441;9844921;cd
s10539;Schiphol_Den;2013-05-05;2013;05;05;serenan;723441;9844921;cd
s10540;Schiphol_Den;2013-05-05;2013;05;05;serenan;723441;9844921;cd
s10543;Schiphol_Den;2013-05-06;2013;05;06;serenan;723441;9844921;cd
s10546;Schiphol_Den;2013-05-07;2013;05;07;serenan;723441;9844921;cd
s10551;Schiphol_Den;2013-05-07;2013;05;07;serenan;723441;9844921;cd
s10552;Schiphol_Den;2013-05-07;2013;05;07;serenan;723441;9844921;cd
s10558;Schiphol_Den;2013-05-08;2013;05;08;serenan;723441;9844921;cd
s10559;Schiphol_Den;2013-05-09;2013;05;09;serenan;723441;9844921;cd
s10562;Schiphol_Den;2013-05-09;2013;05;09;serenan;723441;9844921;cd
s10563.1;Schiphol_Den;2013-05-10;2013;05;10;serenan;723441;9844921;cd
s10566.1;Schiphol_Den;2013-05-10;2013;05;10;serenan;723441;9844921;cd
s10567;Schiphol_Den;2013-05-10;2013;05;10;serenan;723441;9844921;cd
s10570;Schiphol_Den;2013-05-11;2013;05;11;serenan;723441;9844921;cd
s10575;Schiphol_Den;2013-05-12;2013;05;12;serenan;723441;9844921;cd
s10576;Schiphol_Den;2013-05-12;2013;05;12;serenan;723441;9844921;cd
s10577;Schiphol_Den;2013-05-12;2013;05;12;serenan;723441;9844921;cd
s10581;Schiphol_Den;2013-05-13;2013;05;13;serenan;723441;9844921;cd
s10583;Schiphol_Den;2013-05-13;2013;05;13;serenan;723441;9844921;cd
s10585;Schiphol_Den;2013-05-14;2013;05;14;serenan;723441;9844921;cd
s10587;Schiphol_Den;2013-05-14;2013;05;14;serenan;723441;9844921;cd
s10588;Schiphol_Den;2013-05-14;2013;05;14;serenan;723441;9844921;cd
s1059;Rocky_Point_Den;2010-05-08;2010;05;08;happyzebra;716191;9842646;cd
s10593;Schiphol_Den;2013-05-15;2013;05;15;serenan;723441;9844921;cd
s10595;Schiphol_Den;2013-05-16;2013;05;16;serenan;723441;9844921;cd
s10596;Schiphol_Den;2013-05-17;2013;05;17;serenan;723441;9844921;cd
s10598;Schiphol_Den;2013-05-17;2013;05;17;serenan;723441;9844921;cd
s10606;Schiphol_Den;2013-05-18;2013;05;18;serenan;723441;9844921;cd
s10607;Schiphol_Den;2013-05-18;2013;05;18;serenan;723441;9844921;cd
s10608;Schiphol_Den;2013-05-19;2013;05;19;serenan;723441;9844921;cd
s10613;Schiphol_Den;2013-05-20;2013;05;20;serenan;723441;9844921;cd
s10616;Schiphol_Den;2013-05-20;2013;05;20;serenan;723441;9844921;cd
s10621;Schiphol_Den;2013-05-21;2013;05;21;serenan;723441;9844921;cd
s10622;Schiphol_Den;2013-05-21;2013;05;21;serenan;723441;9844921;cd
s10623;Schiphol_Den;2013-05-21;2013;05;21;serenan;723441;9844921;cd
s10625.1;Schiphol_Den;2013-05-22;2013;05;22;serenan;723441;9844921;cd
s10626;Schiphol_Den;2013-05-22;2013;05;22;serenan;723441;9844921;cd
s10634;Schiphol_Den;2013-05-24;2013;05;24;serenan;723441;9844921;cd
s10640;Grits_Den;2013-05-25;2013;05;25;serenan;724180;9846138;cd
s10643;Grits_Den;2013-05-27;2013;05;27;serenan;724180;9846138;cd
s1065;Rocky_Point_Den;2010-05-09;2010;05;09;happyzebra;716191;9842646;cd
s10650;Grits_Den;2013-05-27;2013;05;27;serenan;724180;9846138;cd
s10652;Grits_Den;2013-05-28;2013;05;28;serenan;724180;9846138;cd
s10656;Grits_Den;2013-05-29;2013;05;29;serenan;724180;9846138;cd
s10659;Grits_Den;2013-05-30;2013;05;30;serenan;724180;9846138;cd
s10661;Flapjack_Den;2013-05-30;2013;05;30;serenan;724252;9846273;cd
s10663;Grits_Den;2013-06-02;2013;06;02;serenan;724180;9846138;cd
s10670;Flapjack_Den;2013-06-03;2013;06;03;serenan;724252;9846273;cd
s10674;Grits_Den;2013-06-05;2013;06;05;serenan;724180;9846138;cd
s10679;Grits_Den;2013-06-07;2013;06;07;serenan;724180;9846138;cd
s10681;Flapjack_Den;2013-06-08;2013;06;08;serenan;724252;9846273;cd
s10687;Flapjack_Den;2013-06-09;2013;06;09;serenan;724252;9846273;cd
s10695;Flapjack_Den;2013-06-09;2013;06;09;serenan;724252;9846273;cd
s10698;Grits_Den;2013-06-10;2013;06;10;serenan;724180;9846138;cd
s1070;Rocky_Point_Den;2010-05-27;2010;05;27;happyzebra;716191;9842646;cd
s10701;DeGaulle_Den;2013-06-11;2013;06;11;serenan;723652;9844975;cd
s10706;Grits_Den;2013-06-11;2013;06;11;serenan;724180;9846138;cd
s10721;Flapjack_Den;2013-06-13;2013;06;13;serenan;724252;9846273;cd
s10722;Grits_Den;2013-06-13;2013;06;13;serenan;724180;9846138;cd
s10723;Flapjack_Den;2013-06-15;2013;06;15;serenan;724252;9846273;cd
s10724;Grits_Den;2013-06-15;2013;06;15;serenan;724180;9846138;cd
s10737;Flapjack_Den;2013-06-15;2013;06;15;serenan;724252;9846273;cd
s10738;Flapjack_Den;2013-06-16;2013;06;16;serenan;724252;9846273;cd
s10744;Flapjack_Den;2013-06-16;2013;06;16;serenan;724252;9846273;cd
s10745;Grits_Den;2013-06-17;2013;06;17;serenan;724180;9846138;cd
