landmark_id;utme;utmn;clan
Temple_of_Artemis_Den;724900;9841254;serenas
Zeus_Den;724943;9841096;serenas
Polar_Bear_Den;725352;9840838;serenas
Jackson's_Hole_Den;725657;9841081;serenas
Summit_Den;726881;9841004;serenas
Airfield;723651;9844648;serenas
Island_Den;725384;9840990;serenas
Lost_Den;725277;9841016;serenas
Pyramid_of_Giza;724698;9841306;serenas
Sawyer_Den;725256;9840952;serenas
Colossus_of_Rhodes_Den;725114;9841436;serenas
Defenestrate_Den;725405;9841812;serenas
Cripple_Tree;727202;9842261;serenas
Pride_Rock;718416;9839082;happyzebra
Reach_Out_and_Touch_Mound;718766;9849195;serenan
Baobab_Tree;718077;9837971;happyzebra
Whoopi_Tree;713256;9842517;happyzebra
Summit_Den;726881;9841004;happyzebra
Murram_Pit_Three;718800;9836563;happyzebra
Fisi_Mingi_Luga;719201;9836421;happyzebra
BobLobLog;718774;9837487;happyzebra
Sausage_Tree;721907;9836461;happyzebra
Euphrates_Den;719599;9838284;happyzebra
Oodelali_Den;718352;9849222;serenan
Sneaky_Rock;725623;9841853;serenas
Moat_Den;724573;9842044;serenas
Portcullis_Den;724448;9842095;serenas
Monolith;726441;9842206;serenas
Moonset_Den;720892;9838075;happyzebra
Albatross_Den;718494;9849303;serenan
Mango_Den;726226;9842324;serenas
Kit_Kat_Den;726433;9842488;serenas
Twix_Den;726356;9842540;serenas
Meatloaf_Den;715241;9843545;happyzebra
DeGaulle_Den_II;723670;9844868;serenan
Blowin'_in_the_Wind_Tree;721116;9845013;happyzebra
Rocky_Spot;731691;9832225;happyzebra
Houdini_Den;716763;9843937;happyzebra
Black_Bellied_Bustard_Bird_Junction;717929;9843588;happyzebra
Sneaky_Hole;717935;9849965;serenan
Ilvermorny_Den;719409;9848777;serenan
Portkey_Junction;719362;9848345;serenan
Kabbalah_Den;718423;9849180;serenan
Bastion_Den;724676;9842170;serenas
Turret_Den;724950;9842127;serenas
Granualie_Gen;721416;9841468;happyzebra
