year;month;clan;CD_num
2012;09;serenas;2
2012;09;talek;2
2012;10;happyzebra;3
2012;10;serenan;2
2012;10;serenas;1
2012;10;talek;3
2012;11;serenan;1
2012;11;serenas;2
2012;11;talek;3
2012;12;happyzebra;1
2012;12;serenan;2
2012;12;serenas;1
2012;12;talek;2
2013;01;happyzebra;1
2013;01;serenan;3
2013;01;serenas;1
2013;01;talek;2
2013;02;happyzebra;2
2013;02;serenan;3
2013;02;serenas;3
2013;02;talek;2
2013;03;happyzebra;2
2013;03;serenan;2
2013;03;serenas;1
2013;03;talek;2
2013;04;happyzebra;1
2013;04;serenan;2
2013;04;serenas;1
2013;04;talek;2
2013;05;happyzebra;1
2013;05;serenan;3
2013;05;talek;2
2013;06;happyzebra;1
2013;06;serenan;3
2013;06;serenas;1
2013;06;talek;3
2013;07;happyzebra;4
2013;07;serenan;6
2013;07;talek;5
2013;08;happyzebra;4
2013;08;serenan;3
2013;08;talek;3
2013;09;happyzebra;3
2013;09;serenan;3
2013;09;talek;1
2013;10;happyzebra;1
2013;10;serenan;1
2013;10;serenas;1
2013;10;talek;1
2013;11;serenas;2
2013;11;talek;1
2013;12;happyzebra;2
2013;12;serenan;3
2013;12;serenas;4
2013;12;talek;2
2014;01;happyzebra;1
2014;01;serenan;1
2014;01;serenas;1
2014;01;talek;2
2014;02;happyzebra;2
2014;02;serenan;1
2014;02;serenas;2
2014;02;talek;1
2014;03;happyzebra;2
2014;03;serenan;2
2014;03;serenas;2
2014;03;talek;3
2014;04;happyzebra;1
2014;04;serenan;1
2014;04;serenas;3
2014;04;talek;4
2014;05;happyzebra;1
2014;05;serenan;1
2014;05;serenas;2
2014;05;talek;4
2014;06;happyzebra;1
2014;06;serenan;1
2014;06;serenas;3
2014;06;talek;6
2014;07;happyzebra;1
2014;07;serenas;3
2014;07;talek;6
2014;08;serenan;1
2014;08;serenas;2
2014;08;talek;8
2014;09;happyzebra;1
2014;09;serenan;4
2014;09;serenas;4
2014;09;talek;10
2014;10;happyzebra;2
2014;10;serenan;2
2014;10;serenas;2
2014;10;talek;7
2014;11;happyzebra;1
2014;11;serenan;1
2014;11;serenas;2
2014;11;talek;7
2014;12;happyzebra;1
2014;12;serenan;1
2014;12;serenas;3
2014;12;talek;4
2015;01;happyzebra;2
2015;01;serenan;2
2015;01;serenas;3
2015;01;talek;5
2015;02;happyzebra;1
2015;02;serenan;2
2015;02;serenas;1
2015;02;talek;3
2015;03;happyzebra;3
2015;03;serenan;2
2015;03;serenas;3
2015;03;talek;5
2015;04;happyzebra;3
2015;04;serenan;2
2015;04;serenas;3
2015;04;talek;1
2015;05;happyzebra;2
2015;05;serenas;2
2015;05;talek;2
2015;06;happyzebra;2
2015;06;serenas;2
2015;06;talek;3
2015;07;happyzebra;3
2015;07;serenas;1
2015;07;talek;5
2015;08;happyzebra;2
2015;08;serenan;2
2015;08;serenas;1
2015;08;talek;8
2015;09;happyzebra;3
2015;09;serenan;1
2015;09;serenas;1
2015;09;talek;4
2015;10;happyzebra;4
2015;10;serenan;1
2015;10;serenas;1
2015;10;talek;2
2015;11;happyzebra;2
2015;11;serenan;1
2015;11;serenas;1
2015;11;talek;2
2015;12;serenan;1
2015;12;serenas;3
2015;12;talek;4
2016;01;serenan;1
2016;01;serenas;2
2016;01;talek;3
2016;02;happyzebra;1
2016;02;serenan;1
2016;02;serenas;2
2016;02;talek;1
2016;03;happyzebra;1
2016;03;serenan;2
2016;03;serenas;2
2016;03;talek;3
2016;04;happyzebra;1
2016;04;serenan;3
2016;04;serenas;1
2016;04;talek;3
2016;05;happyzebra;1
2016;05;serenas;1
2016;05;talek;1
2016;06;happyzebra;1
2016;06;serenan;1
2016;06;serenas;1
2016;06;talek;2
2016;07;happyzebra;2
2016;07;serenan;1
2016;07;serenas;3
2016;07;talek;3
2016;08;happyzebra;3
2016;08;serenan;2
2016;08;serenas;4
2016;08;talek;2
2016;09;happyzebra;4
2016;09;serenan;3
2016;09;serenas;5
2016;09;talek;1
2016;10;happyzebra;3
2016;10;serenan;3
2016;10;serenas;1
2016;10;talek;4
2016;11;happyzebra;2
2016;11;serenan;2
2016;11;serenas;1
2016;11;talek;4
2016;12;happyzebra;2
2016;12;serenan;2
2016;12;serenas;2
2016;12;talek;4
2017;01;happyzebra;2
2017;01;serenan;1
2017;01;serenas;2
2017;01;talek;4
2017;02;happyzebra;1
2017;02;serenan;2
2017;02;serenas;3
2017;02;talek;3
2017;03;happyzebra;2
2017;03;serenan;2
2017;03;serenas;1
2017;03;talek;3
2017;04;happyzebra;2
2017;04;serenan;3
2017;04;serenas;1
2017;04;talek;2
2017;05;happyzebra;2
2017;05;serenan;2
2017;05;serenas;2
2017;05;talek;3
2017;06;happyzebra;4
2017;06;serenan;2
2017;06;serenas;2
2017;06;talek;3
2017;07;happyzebra;3
2017;07;serenan;4
2017;07;serenas;6
2017;07;talek;5
2017;08;happyzebra;3
2017;08;serenan;4
2017;08;serenas;2
2017;08;talek;4
2017;09;happyzebra;1
2017;09;serenan;2
2017;09;serenas;3
2017;09;talek;3
2017;10;serenan;1
2017;10;serenas;1
2017;10;talek;3
2017;11;happyzebra;1
2017;11;serenan;1
2017;11;serenas;1
2017;11;talek;3
2017;12;happyzebra;1
2017;12;serenan;3
2017;12;serenas;1
2017;12;talek;3
2018;01;happyzebra;1
2018;01;serenan;1
2018;01;serenas;2
2018;01;talek;3
2018;02;serenan;2
2018;02;serenas;2
2018;02;talek;2
2018;03;serenan;2
2018;03;serenas;2
2018;03;talek;1
2018;04;serenan;4
2018;04;serenas;4
2018;04;talek;1
2018;05;happyzebra;1
2018;05;serenan;3
2018;05;serenas;2
2018;05;talek;2
2018;06;happyzebra;1
2018;06;serenan;4
2018;06;talek;1
2018;07;happyzebra;2
2018;07;serenan;3
2018;07;serenas;1
2018;07;talek;1
2018;08;happyzebra;1
2018;08;serenan;1
2018;08;serenas;1
2018;08;talek;2
2018;09;happyzebra;1
2018;09;serenan;3
2018;09;talek;3
2018;10;serenan;2
2018;10;talek;2
2018;11;serenan;1
2018;11;talek;3
2018;12;happyzebra;1
2018;12;serenan;1
2018;12;talek;2
2019;01;happyzebra;1
2019;01;serenan;1
2019;01;talek;4
2019;02;happyzebra;1
2019;02;serenan;1
2019;02;talek;4
2019;03;happyzebra;2
2019;03;serenan;2
2019;03;talek;3
2019;04;happyzebra;2
2019;04;serenan;3
2019;04;talek;3
2019;05;happyzebra;3
2019;05;serenan;2
2019;05;talek;3
2019;06;happyzebra;2
2019;06;serenan;1
2019;06;talek;4
2019;07;happyzebra;3
2019;07;serenan;1
2019;07;serenas;1
2019;07;talek;8
2019;08;happyzebra;2
2019;08;serenan;3
2019;08;serenas;2
2019;08;talek;3
2019;09;happyzebra;4
2019;09;serenan;1
2019;09;serenas;3
2019;09;talek;2
2019;10;happyzebra;7
2019;10;serenan;1
2019;10;serenas;3
2019;10;talek;4
2019;11;happyzebra;3
2019;11;serenan;1
2019;11;serenas;3
2019;11;talek;5
2019;12;happyzebra;1
2019;12;serenan;2
2019;12;serenas;1
2019;12;talek;1
2020;01;happyzebra;1
2020;01;serenan;1
2020;01;serenas;2
2020;01;talek;1
2020;02;happyzebra;1
2020;02;serenan;1
2020;02;serenas;2
2020;02;talek;1
2020;03;happyzebra;1
2020;03;serenan;1
2020;03;serenas;2
2020;08;serenan;2
2020;09;serenan;2
2020;10;serenan;1
2021;02;serenan;1
2021;02;serenas;1
2021;03;serenan;1
2021;03;serenas;1
2021;04;serenan;2
2021;04;serenas;1
2021;05;serenan;1
2021;05;serenas;2
2021;06;happyzebra;2
2021;06;serenan;1
2021;06;serenas;1
2021;07;serenas;1
2021;08;serenas;2
2021;08;talek;1
2021;09;serenas;3
2021;10;serenas;2
2021;11;serenas;2
2021;12;serenas;2
2022;01;serenas;2
2022;02;serenas;1
2022;03;serenas;1
2022;04;happyzebra;1
2022;04;serenas;1
2022;05;happyzebra;2
2022;05;serenas;1
2022;06;happyzebra;3
2022;06;serenas;1
2022;07;serenas;2
2022;08;serenas;4
2022;09;serenas;1
2022;10;happyzebra;3
2022;10;serenan;2
2022;10;serenas;3
2022;11;happyzebra;2
2022;11;serenan;2
2022;11;serenas;4
2022;12;happyzebra;1
2022;12;serenas;4
2023;01;happyzebra;4
2023;01;serenan;4
2023;01;serenas;5
2023;02;happyzebra;3
2023;02;serenan;2
2023;02;serenas;2
2023;03;happyzebra;4
2023;03;serenan;2
2023;03;serenas;1
