landmark_id,clan,Longitude,Latitude,
Gettysburg_Den,happyzebra,34.97122311,-1.444987111,
LBJ_X,happyzebra,34.97835738,-1.445912176,
Schmuzty_Den,happyzebra,34.97912247,-1.44756616,
Schmuck_Den,happyzebra,34.98067651,-1.447302581,
Oy_Vey_Den,happyzebra,34.98711558,-1.444331206,
Mashugana_Den,happyzebra,34.98816495,-1.44228684,
Mashugana_Den_II,happyzebra,34.9879934,-1.441301437,
Bubula_Den,happyzebra,34.98210907,-1.441641146,
Gila_River_Den_II,happyzebra,34.94517789,-1.413308405,
Gila_River_Den,happyzebra,34.94410897,-1.413562483,
Gila_River_Den_III,happyzebra,34.94541109,-1.412838024,
Tigris_Den,happyzebra,34.97457087,-1.461802032,
Serena_Maji_Fisi,happyzebra,34.97130833,-1.460385344,
Inselberg_View,happyzebra,34.95074359,-1.460900713,
Goliath_Heron_Den,happyzebra,34.95136018,-1.457030207,
Cannibal_Cami_Den,happyzebra,34.96483392,-1.47443313,
Whooping_Cami_Den,happyzebra,34.9652565,-1.474794431,
Airstrip_Den,serenan,35.00838929,-1.402087786,
Redemption_Den,serenan,34.99973902,-1.403523831,
Holy_Grail_Den_II,happyzebra,34.96706408,-1.445777385,
Magic_Marsh,serenan,35.02091829,-1.387528995,
Uji_Den,serenan,35.00482226,-1.390987667,
Best_Friends_Forever_Water_Hole,serenan,35.01309915,-1.394271732,
Runway_Den_II,serenan,35.0058395,-1.404006823,
Wanderlust_Den,serenan,35.00039316,-1.401543133,
Maji_ya_Ndege,serenan,34.98559505,-1.356328733,
Twin_Culverts,serenan,34.94999885,-1.365128603,
Crunk_Den,serenan,34.96264654,-1.362912015,
Two_Term_Tree,serenan,34.97002824,-1.370121372,
Rainy_Day_D,serenan,35.00105865,-1.402347273,
Bakery_Den,serenan,35.00161668,-1.40354934,
Boone_Den,serenas,35.02671247,-1.438952443,
Claire_Den,serenas,35.02567039,-1.439007624,
Mr._Eko_Den,serenas,35.02484309,-1.438122289,
The_Abyss,serenas,35.02276663,-1.426550909,
Temple_of_Artemis_Den,serenas,35.02132791,-1.43532253,
Zeus_Den,serenas,35.02171547,-1.436750757,
Polar_Bear_Den,serenas,35.02539195,-1.439080205,
Jackson's_Hole_Den,serenas,35.0281301,-1.436880657,
Summit_Den,serenas,35.03912696,-1.437566998,
Airfield,serenas,35.01008044,-1.404645115,
Island_Den,serenas,35.02567822,-1.43770563,
Lost_Den,serenas,35.02471674,-1.437471408,
Pyramid_of_Giza,serenas,35.01951274,-1.434853981,
Sawyer_Den,serenas,35.02452858,-1.438050237,
Colossus_of_Rhodes_Den,serenas,35.02324902,-1.433675252,
Defenestrate_Den,serenas,35.02586035,-1.430273296,
Cripple_Tree,serenas,35.0420007,-1.426199272,
Pride_Rock,happyzebra,34.96309201,-1.455012642,
Reach_Out_and_Touch_Mound,serenan,34.9661598,-1.363569189,
Baobab_Tree,happyzebra,34.96005503,-1.465060887,
Whoopi_Tree,happyzebra,34.91670636,-1.42399295,
Summit_Den,happyzebra,35.03912696,-1.437566998,
Murram_Pit_Three,happyzebra,34.96656187,-1.477786138,
Fisi_Mingi_Luga,happyzebra,34.97016574,-1.47906687,
BobLobLog,happyzebra,34.96632095,-1.469431639,
Sausage_Tree,happyzebra,34.99447695,-1.478683342,
Euphrates_Den,happyzebra,34.97372671,-1.462218705,
Oodelali_Den,serenan,34.96244025,-1.363328113,
Sneaky_Rock,serenas,35.0278185,-1.429900852,
Moat_Den,serenas,35.01838391,-1.428182273,
Portcullis_Den,serenas,35.01726052,-1.427722144,
Monolith,serenas,35.03516448,-1.426702651,
Moonset_Den,happyzebra,34.98534501,-1.464098127,
Albatross_Den,serenan,34.96371538,-1.362594671,
Mango_Den,serenas,35.03323202,-1.425637471,
Kit_Kat_Den,serenas,35.03509037,-1.424153009,
Twix_Den,serenas,35.0343982,-1.423683465,
Meatloaf_Den,happyzebra,34.93453265,-1.414682709,
DeGaulle_Den_II,serenan,35.01024943,-1.402655803,
Blowin'_in_the_Wind_Tree,happyzebra,34.9873034,-1.401364473,
Rocky_Spot,happyzebra,35.0824125,-1.516900773,
Houdini_Den,happyzebra,34.94820376,-1.41112673,
Black_Bellied_Bustard_Bird_Junction,happyzebra,34.95868198,-1.414273511,
Sneaky_Hole,serenan,34.95868851,-1.356613021,
Ilvermorny_Den,serenan,34.97193955,-1.367343934,
Portkey_Junction,serenan,34.9715205,-1.371250371,
Kabbalah_Den,serenan,34.96307842,-1.36370735,
Bastion_Den,serenas,35.01930826,-1.427042213,
Turret_Den,serenas,35.02177019,-1.427428825,
Granualie_Gen,happyzebra,34.99002596,-1.433415226,
ARBA_Natal_Den,happyzebra,34.99102406,-1.434417989,
Cacophony_Den,happyzebra,34.94780087,-1.412799841,
Hullabaloo_Den,happyzebra,34.9478303,-1.415774634,
Uproar_Den,happyzebra,34.94828086,-1.417392771,
Clamor_Den,happyzebra,34.94947547,-1.417039121,
Hubbub_Den,happyzebra,34.94896158,-1.414896604,
Extortion_Den,happyzebra,34.95179845,-1.412317239,
Judith_Den2,serenan,34.96745313,-1.363125072,
Tiny_Violet_Princess_Den,happyzebra,34.94439473,-1.411464493,
Calexico_Den,happyzebra,34.94480778,-1.421970971,
Bran_Den,serenas,35.01677457,-1.426773202,
TSA_Den,serenas,35.01718238,-1.43083253,
Angry_Ele_Den,happyzebra,34.96401238,-1.406881733,
Ambush_Gardenia,happyzebra,34.96743577,-1.407403259,
Defenestrate_Den2,serenas,35.02666807,-1.429332255,
Ugli_Den,serenas,35.03394047,-1.424190197,
Suzi_Den_3,serenas,35.03411162,-1.424714453,
Angry_Ele_Den_2,happyzebra,34.96383291,-1.407135058,
Lugga_Den2,happyzebra,34.96491838,-1.405208211,
Lugga_Den_lll,happyzebra,34.96463051,-1.404765401,
Suzi_Den,serenas,35.03387778,-1.424407249,
Mango_Den_ll,serenas,35.03329544,-1.426243197,
Bberry_Den,serenas,35.03064106,-1.431751856,
Precipice_Den_ll,serenas,35.03144794,-1.429852414,
Precipice_Den,serenas,35.03182485,-1.429381918,
Rang_Natal_Den,serenas,35.03202066,-1.42730219,
Seatac_Den,serenan,35.00715947,-1.40323714,
Bright_Eyes_Den_ll,serenan,34.96175952,-1.365860411,
Bright_Eyes_Den,serenan,34.96314301,-1.365805023,
Diagon_Alley_ll,serenan,34.95910654,-1.362526112,
Diagon_Alley_Den,serenan,34.95881926,-1.362779522,
Gringotts_Den,serenan,34.96066768,-1.359956924,
Whomping_Willow_Den,serenan,34.96403092,-1.363959741,
Soda_Fountain_Den,serenan,34.96747411,-1.344580119,
Precipice_Den_III,serenas,35.03142971,-1.429554059,
Precipice_Den_II,serenas,35.03144794,-1.429852414,
Hipposhi_Tree,serenan,34.97949863,-1.349697054,
Crunk_Den_2,serenan,34.96248482,-1.362894064,
Comatose_Culvert,happyzebra,34.96016111,-1.431696062,
Mtafiti_Fisi_Good_Day_Den,happyzebra,34.95259572,-1.420273503,
Some_Freaky_Lions_Den,serenan,34.97516714,-1.370225615,
WAFL_Natal_Den,serenan,34.97032761,-1.362652529,
Culvert_City_Den,happyzebra,34.96084586,-1.423385938,
Dying_Cub_Culvert,happyzebra,34.96406976,-1.421701381,
Silk_Natal_Den,happyzebra,34.95198374,-1.38651127,
Oodelali_D2,serenan,34.96224267,-1.363409652,
Crunk_Den_II,serenan,34.96248482,-1.362894064,
Crunk_D5,serenan,34.96116399,-1.362669098,
Crunk_D7,serenan,34.96131626,-1.362108374,
Crunk_D6,serenan,34.96124468,-1.362461068,
TEDY_Natal_Den,serenan,34.96095652,-1.361629446,
Gringotts_Den_2,serenan,34.96104631,-1.361575121,
Solid_Bottom_Crossing,happyzebra,34.95263993,-1.386935698,
Ollivander's_Den_2,serenan,34.9700433,-1.366558857,
Log_Cabin's_Culvert,serenan,34.9869135,-1.439222774,
CERN_Den,happyzebra,34.97313847,-1.457327578,
Truck_Stop_D,happyzebra,34.96213037,-1.390870076,
Unremarkable_Den,serenan,35.00286434,-1.380962092,
Mag_Den,serenan,34.97153813,-1.348699915,
Gryffindor_Den,serenan,34.96980098,-1.344632482,
Slytherin_Den,serenan,34.97057635,-1.348067767,
Ravenclaw_Den,serenan,34.96824873,-1.347084096,
Hufflepuff_Den,serenan,34.96722372,-1.346027027,
Thug_Mansion_Den,serenan,34.96776335,-1.346768024,
Durmstrang_Den,serenan,34.9688507,-1.347137858,
Beauxbatons_Den,serenan,34.96813253,-1.347816584,
Hogshead_Den,serenan,34.9567874,-1.360954709,
Privet_Drive_Den,serenan,34.95789332,-1.362047882,
