landmark_id,utme,utmn,clan,X,Y
Changra_Den,718635,9849330,serenan,34.96498192,-1.362349499
Wild_Berry_Den,718776,9849282,serenan,34.96624901,-1.36278247
Judith_Den,718861,9849286,serenan,34.96701261,-1.362745675
The_Burrow_Den,719609,9848844,serenan,34.97373584,-1.366736643
Migration_Den_3,719817,9837650,happyzebra,34.97569031,-1.467949497
Migration_Den,719721,9937675,happyzebra,34.97427867,-0.56353669
Coincidence_Den_2,719576,9837606,happyzebra,34.97352544,-1.468349263
Coincidence_D,719522,9837495,happyzebra,34.97304117,-1.46935334
Migration_Den_4,719680,9837699,happyzebra,34.97445907,-1.467507541
Migration_Den_5,719569,9837708,happyzebra,34.97346174,-1.46742705
Grand_Theft_Auto_Den,717033,9844406,happyzebra,34.95062597,-1.406883995
Arson_Den,717309,9844189,happyzebra,34.95310724,-1.408844014
Bellagio_ND,726391,9840882,serenas,35.03472585,-1.438674016
Homicide_Den,717090,9844193,happyzebra,34.95113967,-1.408809505
FML_Den,725171,9841252,serenas,35.02376256,-1.435338446
Vandalism_Den,717253,9844123,happyzebra,34.95260463,-1.409441208
Rousseau_Den,725441,9840912,serenas,35.02619093,-1.438410415
Windsor_Den,716432,9842596,happyzebra,34.9452401,-1.42325457
Amazon_Den,719656,9838561,happyzebra,34.97423663,-1.459713659
Larceny_Den,717242,9843722,happyzebra,34.95250882,-1.413067122
Gettysburg_Den,719322,9840190,happyzebra,34.97122311,-1.444987111
LBJ_X,720116,9840087,happyzebra,34.97835738,-1.445912176
Schmuzty_Den,720201,9839904,happyzebra,34.97912247,-1.44756616
Schmuck_Den,720374,9839933,happyzebra,34.98067651,-1.447302581
Oy_Vey_Den,721091,9840261,happyzebra,34.98711558,-1.444331206
Mashugana_Den,721208,9840487,happyzebra,34.98816495,-1.44228684
Mashugana_Den_II,721189,9840596,happyzebra,34.9879934,-1.441301437
Bubula_Den,720534,9840559,happyzebra,34.98210907,-1.441641146
Gila_River_Den_II,716426,9843696,happyzebra,34.94517789,-1.413308405
Gila_River_Den,716307,9843668,happyzebra,34.94410897,-1.413562483
Gila_River_Den_III,716452,9843748,happyzebra,34.94541109,-1.412838024
Tigris_Den,719693,9838330,happyzebra,34.97457087,-1.461802032
Serena_Maji_Fisi,719330,9838487,happyzebra,34.97130833,-1.460385344
Inselberg_View,717041,9838432,happyzebra,34.95074359,-1.460900713
Goliath_Heron_Den,717110,9838860,happyzebra,34.95136018,-1.457030207
Cannibal_Cami_Den,718608,9836934,happyzebra,34.96483392,-1.47443313
Whooping_Cami_Den,718655,9836894,happyzebra,34.9652565,-1.474794431
Airstrip_Den,723463,9844931,serenan,35.00838929,-1.402087786
Redemption_Den,722500,9844773,serenan,34.99973902,-1.403523831
Holy_Grail_Den_II,718859,9840103,happyzebra,34.96706408,-1.445777385
Magic_Marsh,724859,9846540,serenan,35.02091829,-1.387528995
Uji_Den,723067,9846159,serenan,35.00482226,-1.390987667
Best_Friends_Forever_Water_Hole,723988,9845795,serenan,35.01309915,-1.394271732
Runway_Den_II,723179,9844719,serenan,35.0058395,-1.404006823
Wanderlust_Den,722573,9844992,serenan,35.00039316,-1.401543133
Maji_ya_Ndege,720930,9849994,serenan,34.98559505,-1.356328733
Twin_Culverts,716967,9849024,serenan,34.94999885,-1.365128603
Crunk_Den,718375,9849268,serenan,34.96264654,-1.362912015
Two_Term_Tree,719196,9848470,serenan,34.97002824,-1.370121372
Rainy_Day_D,722647,9844903,serenan,35.00105865,-1.402347273
Bakery_Den,722709,9844770,serenan,35.00161668,-1.40354934
Boone_Den,725499,9840852,serenas,35.02671247,-1.438952443
Claire_Den,725383,9840846,serenas,35.02567039,-1.439007624
Mr._Eko_Den,725291,9840944,serenas,35.02484309,-1.438122289
The_Abyss,725061,9842224,serenas,35.02276663,-1.426550909
